"Graph		",Greedy,Time (s),Random Walk,Time (s),Simulated Annealing,Time (s)
"GSET14	",,,2930,936.1299,2827,142.9885
"GSET15				",,,2919,1093.3546,2773,121.5142
"GSET22						",,,12163,20904.8957,11539,864.9803
"GSET49						",,,,,3306,962.7009
"GSET50						",,,,,3350,2299.5043
"GSET55						",,,,,7141,4870.4099
"GSET70						",,,,,5521,20483.4728
"						",,,,,,
"						",,,,,,
"						",,,,,,
"						",,,,,,
"						",,,,,,
"						",,,,,,
"						",,,,,,
"14						",,,,,,
"15						",,,,,,
"22						",,,,,,
"49						",,,,,,
"50						",,,,,,
"55						",,,,,,
"70						",,,,,,
